task,arm,repeat,step,input_tokens,output_tokens,cached_input_tokens,reasoning_output_tokens
003,baseline,1,1,600,131,384,8
003,baseline,1,2,1397,61,640,14
003,baseline,1,3,2390,112,1408,0
003,baseline,1,4,3541,117,2432,0
003,baseline,1,5,4953,81,3584,11
003,baseline,1,6,5185,86,4992,0
003,baseline,1,7,7749,85,5248,21
003,baseline,1,8,7864,54,7680,0
003,baseline,1,9,8772,115,7808,60
003,baseline,1,10,9142,115,8832,25
003,baseline,1,11,9405,72,9216,0
003,baseline,1,12,10843,108,9472,0
003,baseline,1,13,11491,384,10880,277
003,baseline,1,14,13000,732,11776,672
003,baseline,1,15,14190,1473,13696,1342
003,baseline,1,16,17053,154,15616,81
003,baseline,1,17,18720,1602,17152,1522
003,baseline,1,18,20440,61,20224,0
003,baseline,1,19,21744,1137,20480,190
003,baseline,1,20,22895,212,22656,145
003,baseline,1,21,23949,309,23040,114
003,baseline,1,22,24667,636,24192,381
003,baseline,1,23,25917,533,25216,30
003,baseline,1,24,26582,517,26368,334
003,baseline,1,25,27349,569,27008,495
003,baseline,1,26,27965,469,27776,423
003,baseline,1,27,29576,495,28416,430
003,baseline,1,28,30225,163,29952,109
003,baseline,1,29,30433,1258,30208,988
003,baseline,1,30,31784,157,31616,61
003,baseline,1,31,32840,355,31872,293
003,baseline,1,32,33764,62,33152,0
003,baseline,1,33,34243,806,33792,661
003,baseline,1,34,35145,480,34944,13
003,cbe,1,1,1360,106,1152,8
003,cbe,1,2,3497,90,1408,13
003,cbe,1,3,3620,69,3456,0
003,cbe,1,4,5002,150,3584,11
003,cbe,1,5,6750,75,5120,0
003,cbe,1,6,9710,96,6784,49
003,cbe,1,7,10061,427,9728,265
003,cbe,1,8,12650,79,10368,14
003,cbe,1,9,14041,1193,12672,1096
003,cbe,1,10,15651,1660,15232,667
003,cbe,1,11,17325,51,17152,4
003,cbe,1,12,17636,445,17280,60
003,cbe,1,13,18271,480,18048,293
003,cbe,1,14,19238,562,18688,417
003,cbe,1,15,20475,280,19712,172
003,cbe,1,16,22082,557,20736,466
003,cbe,1,17,22773,218,22528,147
003,cbe,1,18,23616,179,22912,116
003,cbe,1,19,24352,929,23680,833
003,cbe,1,20,26022,224,25216,159
