task,domain,repository,exact_delta_pp,private_delta_pp,baseline_private_mean,cbe_private_mean
003,Materials Science and Engineering,dpdata,0.0,-5.555555555555555,0.5,0.4444444444444444
007,Biomedical Engineering,suspect,0.0,5.555555555555555,0.8888888888888888,0.9444444444444444
011,Physics,DESC,0.0,0.0,0.6,0.6
012,Physics,DESC,0.0,-3.3333333333333335,0.9,0.8666666666666667
013,Physics,DESC,0.0,0.0,1.0,1.0
015,Biomedical Engineering,Spinach,0.0,0.0,1.0,1.0
017,Astronomy,gammapy,0.0,0.0,0.9444444444444444,0.9444444444444444
018,Biology,MACS,0.0,-100.0,1.0,0.0
020,Materials Science and Engineering,deepmd-kit,33.333333333333336,2.7777777777777777,0.8611111111111112,0.8888888888888888
021,Chemistry,dpti,0.0,0.0,0.6,0.6
022,Biomedical Engineering,nilearn,-66.66666666666667,-22.22222222222222,0.9444444444444444,0.7222222222222222
023,Chemistry,mdanalysis,0.0,0.0,1.0,1.0
026,Atmospheric Science,MetPy,0.0,0.0,0.9259259259259259,0.9259259259259259
029,Biology,biopython,-33.333333333333336,-32.18390804597701,0.8045977011494253,0.4827586206896552
030,Materials Science and Engineering,pymatgen,0.0,0.0,1.0,1.0
031,Biomedical Engineering,mne-python,0.0,0.0,1.0,1.0
032,Chemistry,openmm,0.0,0.0,1.0,1.0
033,Materials Science and Engineering,pyscf,0.0,3.3333333333333335,0.5333333333333333,0.5666666666666667
034,Mathematics,diffrax,0.0,0.0,0.125,0.125
035,Mathematics,scipy,0.0,0.0,0.5714285714285714,0.5714285714285714
036,Marine Science,Parcels,0.0,-3.7037037037037037,0.8148148148148148,0.7777777777777778
037,Biomedical Engineering,nibabel,0.0,0.0,0.23076923076923078,0.23076923076923078
038,Materials Science and Engineering,spglib,0.0,0.0,0.7555555555555555,0.7555555555555555
039,Geography,landlab,0.0,0.0,0.36363636363636365,0.36363636363636365
040,Geophysics,simpeg,0.0,0.0,0.0,0.0
041,Geophysics,sunpy,0.0,-6.944444444444445,0.25,0.18055555555555555
042,Astronomy,sunpy,66.66666666666667,6.25,0.75,0.8125
043,Materials Science and Engineering,porespy,0.0,0.0,0.5,0.5
044,Chemistry,PyBaMM,0.0,-13.333333333333334,0.6666666666666666,0.5333333333333333
046,Astronomy,stingray,0.0,0.0,0.6,0.6
047,Information and Communication Engineering,scikit-rf,0.0,-33.333333333333336,0.47619047619047616,0.14285714285714285
048,Chemistry,pycalphad,0.0,17.94871794871795,0.5641025641025641,0.7435897435897436
049,Mathematics,py-pde,0.0,0.0,0.8461538461538461,0.8461538461538461
050,Physics,quimb,0.0,0.0,0.8181818181818182,0.8181818181818182
052,Materials Science and Engineering,fipy,0.0,-6.25,0.6458333333333334,0.5833333333333334
053,Biomedical Engineering,MONAI,-33.333333333333336,11.11111111111111,0.5555555555555556,0.6666666666666666
054,Chemistry,matchms,0.0,-4.761904761904762,0.42857142857142855,0.38095238095238093
055,Astronomy,specutils,0.0,-7.407407407407407,0.5555555555555556,0.48148148148148145
056,Aeronautical and Astronautical Science and Technology,poliastro,-33.333333333333336,-30.0,1.0,0.7
057,Chemistry,mdtraj,0.0,0.0,0.9090909090909091,0.9090909090909091
059,Computer Science and Technology,scikit-image,0.0,-7.407407407407407,0.48148148148148145,0.4074074074074074
060,Biomedical Engineering,spikeinterface,0.0,0.0,0.36363636363636365,0.36363636363636365
062,Materials Science and Engineering,atomate2,0.0,0.0,0.8823529411764706,0.8823529411764706
063,Biology,tskit,0.0,0.0,0.6296296296296297,0.6296296296296297
064,Chemistry,cclib,0.0,0.0,0.3333333333333333,0.3333333333333333
065,Astronomy,yt,0.0,-14.285714285714286,0.7142857142857143,0.5714285714285714
066,Atmospheric Science,iris,0.0,5.555555555555555,0.5555555555555556,0.6111111111111112
067,Atmospheric Science,xclim,33.333333333333336,16.666666666666668,0.8333333333333334,1.0
068,Biology,htslib,0.0,0.0,0.0,0.0
069,Biology,cooltools,0.0,0.0,0.75,0.75
071,Physics,pyFAI,0.0,6.666666666666667,0.3333333333333333,0.4
072,Biomedical Engineering,pydicom,0.0,-4.761904761904762,0.42857142857142855,0.38095238095238093
074,Materials Science and Engineering,DeePTB,66.66666666666667,30.0,0.6666666666666666,0.9666666666666667
075,Materials Science and Engineering,deepmd-kit,0.0,0.0,0.125,0.125
079,Chemistry,selfies,0.0,0.0,0.9285714285714286,0.9285714285714286
081,Biology,anndata,0.0,0.0,1.0,1.0
082,Materials Science and Engineering,dpgen,0.0,4.761904761904762,0.14285714285714285,0.19047619047619047
083,Chemistry,reacnetgenerator,0.0,0.0,0.3333333333333333,0.3333333333333333
084,Materials Science and Engineering,dpdata,33.333333333333336,9.523809523809524,0.8095238095238095,0.9047619047619048
085,Chemistry,dftbplus,0.0,0.0,0.3,0.3
086,Materials Science and Engineering,matgl,0.0,0.0,0.75,0.75
087,Biomedical Engineering,dipy,-33.333333333333336,-13.333333333333334,0.4,0.26666666666666666
088,Atmospheric Science,xarray,0.0,0.0,0.6,0.6
089,Chemistry,cclib,0.0,0.0,0.75,0.75
090,Chemistry,nmrglue,0.0,-5.555555555555555,0.6111111111111112,0.5555555555555556
092,Chemistry,chemprop,0.0,-7.407407407407407,0.8888888888888888,0.8148148148148148
093,Biomedical Engineering,MONAI,-33.333333333333336,-16.666666666666668,0.6666666666666666,0.5
094,Physics,pymatgen,0.0,0.0,0.0,0.0
095,Materials Science and Engineering,OpenPNM,0.0,0.0,0.16666666666666666,0.16666666666666666
096,Atmospheric Science,climada_python,0.0,0.0,0.625,0.625
097,Physics,deepmd-kit,0.0,0.0,0.0,0.0
098,Surveying and Mapping Science and Technology,satpy,-33.333333333333336,-9.090909090909092,0.9090909090909091,0.8181818181818182
100,Chemistry,autografs,0.0,-8.333333333333334,0.9166666666666666,0.8333333333333334
101,Chemistry,PyBaMM,33.333333333333336,16.666666666666668,0.36666666666666664,0.5333333333333333
102,Materials Science and Engineering,polyply_1.0,0.0,8.333333333333334,0.6666666666666666,0.75
103,Mechanics,pyNastran,66.66666666666667,33.333333333333336,0.5,0.8333333333333334
105,Chemistry,rdkit,0.0,0.0,0.5,0.5
106,Chemistry,scikit-fingerprints,0.0,0.0,1.0,1.0
107,Mathematics,sympy,0.0,-44.44444444444444,0.4444444444444444,0.0
108,Mathematics,mpmath,0.0,4.3478260869565215,0.9130434782608695,0.9565217391304348
109,Mechanics,wrinkleFE,0.0,0.0,0.1111111111111111,0.1111111111111111
110,Civil Engineering,section-properties,0.0,-3.3333333333333335,0.4,0.36666666666666664
111,Mechanics,PyElastica,0.0,0.0,0.6,0.6
112,Civil Engineering,section-properties,0.0,0.0,1.0,1.0
113,Electrical Engineering,pvlib-python,0.0,-5.128205128205129,0.5897435897435898,0.5384615384615384
115,Civil Engineering,Pynite,0.0,0.0,1.0,1.0
116,Civil Engineering,Pynite,33.333333333333336,2.867383512544803,0.9139784946236559,0.942652329749104
117,Civil Engineering,Pynite,0.0,-5.555555555555555,0.3888888888888889,0.3333333333333333
118,Chemistry,tblite,0.0,11.11111111111111,0.4444444444444444,0.5555555555555556
